Date,AQI_Forecast,HRI,Location
2024-12-31,16.435999458371256,0.5084239709364948,Vellore
2025-01-01,18.95918399674688,0.5864750505593477,Vellore
2025-01-02,28.73936476841787,0.8890108566114167,Vellore
2025-01-03,16.189677131960792,0.5008043445401129,Vellore
2025-01-04,17.252308101926044,0.5336753031184586,Vellore
2025-01-05,28.73936476841787,0.8890108566114167,Vellore
2025-01-06,16.56712177576994,0.5124800509734335,Vellore
2025-01-07,28.73936476841787,0.8890108566114167,Vellore
2025-01-08,5.03087198654962,0.1556227790803419,Vellore
2025-01-09,22.187110168800487,0.6863262976004549,Vellore
2025-01-10,4.922369080780952,0.1522663979640748,Vellore
2025-01-11,28.73936476841787,0.8890108566114167,Vellore
2025-01-12,6.600961313421912,0.2041912310515933,Vellore
2025-01-13,43.21633639123787,1.3368351229878823,Vellore
2025-01-14,6.293985357095715,0.1946953719714873,Vellore
2025-01-15,20.60374053676008,0.6373470385160782,Vellore
2025-01-16,15.650800164450253,0.4841349616795299,Vellore
2025-01-17,4.276919772705014,0.1323003532412489,Vellore
2025-01-18,13.120181460942272,0.4058539168655268,Vellore
2025-01-19,14.474252427512836,0.4477401519860192,Vellore
2025-01-20,16.050155980618094,0.4964884586717207,Vellore
2025-01-21,28.73936476841787,0.8890108566114167,Vellore
2025-01-22,28.108271238662983,0.8694888872147283,Vellore
2025-01-23,19.23820418616081,0.5951061382539283,Vellore
2025-01-24,21.197684821399296,0.6557198495201272,Vellore
2025-01-25,28.73936476841787,0.8890108566114167,Vellore
2025-01-26,15.361880271380867,0.4751976409106327,Vellore
2025-01-27,14.340628622892012,0.4436066920446854,Vellore
2024-12-31,32.86562615754226,1.0166508097456357,Velachery
2025-01-01,45.62532062308336,1.4113535806077184,Velachery
2025-01-02,39.69005019368986,1.2277545382776676,Velachery
2025-01-03,45.59925445848395,1.4105472613482,Velachery
2025-01-04,37.11425631311192,1.1480760644255434,Velachery
2025-01-05,40.434239083548576,1.250774949751098,Velachery
2025-01-06,38.86538607268825,1.2022447414350457,Velachery
2025-01-07,32.482454179260415,1.0047979364693214,Velachery
2025-01-08,45.62989896561386,1.4114952050398413,Velachery
2025-01-09,29.111926715827323,0.900535523864023,Velachery
2025-01-10,37.7083515193242,1.1664535439710868,Velachery
2025-01-11,39.06574457928191,1.208442543265793,Velachery
2025-01-12,45.563079580359584,1.4094282435950831,Velachery
2025-01-13,23.631539448682886,0.7310076370027091,Velachery
2025-01-14,39.562508188040745,1.2238092100280793,Velachery
2025-01-15,17.018904124955498,0.5264552872560648,Velachery
2025-01-16,32.51275165579902,1.005735145269439,Velachery
2025-01-17,37.2049676795729,1.1508820898979817,Velachery
2025-01-18,20.68551092905273,0.6398764878300528,Velachery
2025-01-19,37.42830059539058,1.1577905719886776,Velachery
2025-01-20,31.03811613651432,0.9601194193564724,Velachery
2025-01-21,28.576749391383032,0.8839805841332025,Velachery
2025-01-22,45.63017823555495,1.411503843853244,Velachery
2025-01-23,26.94868271171266,0.8336186862562946,Velachery
2025-01-24,28.64396183687037,0.8860597043301565,Velachery
2025-01-25,45.54259554896327,1.4087945995864133,Velachery
2025-01-26,26.36368694216535,0.815522684678319,Velachery
2025-01-27,27.84683051009559,0.8614015948222317,Velachery
2024-12-31,35.77690100219512,1.106706904037611,Tirupur
2025-01-01,24.51855077881024,0.7584460549627022,Tirupur
2025-01-02,33.20456896970582,1.0271355174701065,Tirupur
2025-01-03,36.1633847210495,1.11866222123873,Tirupur
2025-01-04,25.153559862126016,0.7780891463693348,Tirupur
2025-01-05,39.83465356468211,1.23222763529114,Tirupur
2025-01-06,33.354568509207766,1.0317755371844768,Tirupur
2025-01-07,23.835106145629155,0.7373046795813478,Tirupur
2025-01-08,21.0175051746102,0.6501462516543893,Tirupur
2025-01-09,17.06914067426039,0.5280092825545212,Tirupur
2025-01-10,41.64501507844766,1.2882285613066549,Tirupur
2025-01-11,27.580320986056392,0.8531575065422585,Tirupur
2025-01-12,19.54724335979981,0.6046658199900121,Tirupur
2025-01-13,44.14865697047844,1.3656751173115544,Tirupur
2025-01-14,42.25983655396229,1.307247178141603,Tirupur
2025-01-15,36.42574198443855,1.126777865315875,Tirupur
2025-01-16,22.40592076092104,0.6930948881209562,Tirupur
2025-01-17,29.123670847015426,0.9008988116475848,Tirupur
2025-01-18,21.693765091998905,0.6710653782006507,Tirupur
2025-01-19,29.989650589194973,0.9276866477256176,Tirupur
2025-01-20,30.06906089217876,0.930143091075993,Tirupur
2025-01-21,23.190767500675527,0.7173729916225539,Tirupur
2025-01-22,29.14505384148285,0.9015602637841084,Tirupur
2025-01-23,29.123670847015426,0.9008988116475848,Tirupur
2025-01-24,30.223047431370688,0.9349064428834094,Tirupur
2025-01-25,19.06575300383604,0.5897716093053041,Tirupur
2025-01-26,29.12367084699349,0.9008988116469062,Tirupur
2025-01-27,23.932763335241987,0.7403255640891144,Tirupur
2024-12-31,23.975660116730893,0.7416525142414446,salem
2025-01-01,41.17082333162174,1.2735601225836446,salem
2025-01-02,24.483006648037986,0.7573465484704753,salem
2025-01-03,28.77131382689376,0.8899991547200369,salem
2025-01-04,20.38567027542515,0.6306013490621525,salem
2025-01-05,28.77131382689376,0.8899991547200369,salem
2025-01-06,27.81931790353708,0.8605505319639785,salem
2025-01-07,28.77131382689376,0.8899991547200369,salem
2025-01-08,29.77950174183848,0.9211859958041247,salem
2025-01-09,26.14618098297728,0.8087944510985579,salem
2025-01-10,28.77131382689376,0.8899991547200369,salem
2025-01-11,28.77131382689376,0.8899991547200369,salem
