ID_Date,StationId,Date,PM2.5,PM10,NO2,CO,O3,AQI,HIS,HRI_Normalized,HRI_Category
TN_1_2023-01-01,1,01-01-2023,4.13558378,4.818063606,3.515783956,0.674343013,3.316692488,33.71715065,3.744275992,0.007488552,Low
TN_1_2023-01-02,1,02-01-2023,4.13558378,4.619192592,3.349679891,0.638357283,3.242463491,31.91786415,3.654909707,0.007309819,Low
TN_1_2023-01-03,1,03-01-2023,4.13558378,4.785857306,3.484470975,0.656512011,3.316692488,32.82560055,3.72974437,0.007459489,Low
TN_1_2023-01-04,1,04-01-2023,4.13558378,4.808580024,3.730014733,0.577100917,3.316692488,28.85504585,3.764315504,0.007528631,Low
TN_1_2023-01-05,1,05-01-2023,4.13558378,4.645968847,3.677925582,0.592290397,3.316692488,29.61451985,3.717368285,0.007434737,Low
TN_1_2023-01-06,1,06-01-2023,4.13558378,4.779787955,3.804784667,0.558821822,3.316692488,27.9410911,3.766505067,0.00753301,Low
TN_1_2023-01-07,1,07-01-2023,4.13558378,4.855692533,3.804784667,0.61227224,3.316692488,30.613612,3.790826253,0.007581653,Low
TN_1_2023-01-08,1,08-01-2023,4.13558378,4.855692533,3.775029277,0.619680028,3.316692488,30.9840014,3.787103724,0.007574207,Low
TN_1_2023-01-09,1,09-01-2023,4.13558378,4.855692533,3.804784667,0.709129885,3.316692488,35.45649425,3.800512018,0.007601024,Low
TN_1_2023-01-10,1,10-01-2023,4.13558378,4.855692533,3.804784667,0.656620059,3.316692488,32.83100295,3.795261035,0.007590522,Low
TN_1_2023-01-11,1,11-01-2023,4.13558378,4.855692533,3.775645503,0.690052118,3.316692488,34.5026059,3.794233367,0.007588467,Low
TN_1_2023-01-12,1,12-01-2023,4.13558378,4.787733323,3.589262444,0.699981413,3.316692488,34.99907065,3.750279035,0.007500558,Low
TN_1_2023-01-13,1,13-01-2023,4.13558378,4.855692533,3.464661107,0.647775645,3.316692488,32.38878225,3.74335806,0.007486716,Low
TN_1_2023-01-14,1,14-01-2023,4.13558378,4.855692533,3.500899209,0.668576956,3.316692488,33.4288478,3.750873906,0.007501748,Low
TN_1_2023-01-15,1,15-01-2023,4.13558378,4.651164117,3.260970343,0.603841507,3.316692488,30.19207535,3.657278928,0.007314558,Low
TN_1_2023-01-16,1,16-01-2023,4.108448909,4.533498506,3.353542684,0.626105529,3.316692488,31.30527645,3.634477573,0.007268955,Low
TN_1_2023-01-17,1,17-01-2023,4.032431604,4.456965796,3.220865511,0.608424848,3.316692488,30.4212424,3.567068695,0.007134137,Low
TN_1_2023-01-18,1,18-01-2023,4.13558378,4.743671067,3.433542437,0.589656059,3.316692488,29.48280295,3.704872934,0.007409746,Low
TN_1_2023-01-19,1,19-01-2023,4.13558378,4.837456262,3.432174407,0.66706341,3.316692488,33.3531705,3.735854764,0.00747171,Low
TN_1_2023-01-20,1,20-01-2023,4.13558378,4.855692533,3.46397437,0.712234683,3.316692488,35.61173415,3.749700953,0.007499402,Low
TN_1_2023-01-21,1,21-01-2023,4.13558378,4.855692533,3.376781351,0.619175417,3.316692488,30.95877085,3.727316074,0.007454632,Low
TN_1_2023-01-22,1,22-01-2023,4.13558378,4.855692533,3.327012483,0.606647036,3.316692488,30.3323518,3.718597906,0.007437196,Low
TN_1_2023-01-23,1,23-01-2023,4.13558378,4.751019841,3.32296303,0.647630299,3.316692488,32.38151495,3.695920641,0.007391841,Low
TN_1_2023-01-24,1,24-01-2023,4.074754621,4.499578934,3.21868414,0.592155963,3.316692488,29.60779815,3.590580941,0.007181162,Low
TN_1_2023-01-25,1,25-01-2023,4.13558378,4.855692533,3.333857409,0.660394394,3.316692488,33.0197197,3.72499938,0.007449999,Low
TN_1_2023-01-26,1,26-01-2023,4.13558378,4.855692533,3.305503216,0.629127043,3.316692488,31.45635215,3.717619516,0.007435239,Low
TN_1_2023-01-27,1,27-01-2023,4.13558378,4.725488278,3.328059025,0.580448852,3.316692488,29.0224426,3.683584005,0.007367168,Low
TN_1_2023-01-28,1,28-01-2023,4.13558378,4.855692533,3.804784667,0.699343223,3.316692488,34.96716115,3.799533352,0.007599067,Low
TN_1_2023-01-29,1,29-01-2023,4.13558378,4.855692533,3.184244122,0.724070343,3.316692488,36.20351715,3.708924982,0.00741785,Low
TN_1_2023-01-30,1,30-01-2023,4.13558378,4.693758646,3.173693935,0.749973749,3.316692488,37.49868745,3.669449323,0.007338899,Low
TN_1_2023-01-31,1,31-01-2023,4.13558378,4.850854986,3.342785732,0.59690775,3.316692488,29.8453875,3.718780578,0.007437561,Low
TN_1_2023-02-01,1,01-02-2023,4.13558378,4.843081379,3.506378715,0.628941937,3.316692488,31.44709685,3.744579542,0.007489159,Low
TN_1_2023-02-02,1,02-02-2023,4.13558378,4.72813852,3.736636512,0.576613364,3.316692488,28.8306682,3.745149639,0.007490299,Low
TN_1_2023-02-03,1,03-02-2023,4.13558378,4.691771149,3.529633349,0.572175473,3.316692488,28.60877365,3.704563533,0.007409127,Low
TN_1_2023-02-04,1,04-02-2023,4.13558378,4.855692533,3.700460571,0.662097163,3.316692488,33.10485815,3.780160131,0.00756032,Low
TN_1_2023-02-05,1,05-02-2023,4.13558378,4.718696335,3.52724555,0.571469853,3.316692488,28.57349265,3.710866098,0.007421732,Low
TN_1_2023-02-06,1,06-02-2023,4.13558378,4.855692533,3.483924517,0.685251508,3.316692488,34.2625754,3.749995158,0.00749999,Low
TN_1_2023-02-07,1,07-02-2023,4.13558378,4.692221609,3.327408803,0.656349918,3.316692488,32.8174959,3.682759911,0.00736552,Low
TN_1_2023-02-08,1,08-02-2023,4.13558378,4.678935217,3.38097814,0.719329199,3.316692488,35.96645995,3.693771641,0.007387543,Low
TN_1_2023-02-09,1,09-02-2023,4.13558378,4.850433667,3.311437281,0.774551141,3.134947569,38.72755705,3.704475581,0.007408951,Low
TN_1_2023-02-10,1,10-02-2023,4.13558378,4.737213102,3.456680267,0.699446741,3.316692488,34.97233705,3.717708186,0.007435416,Low
TN_1_2023-02-11,1,11-02-2023,4.13558378,4.855692533,3.662502929,0.836180389,3.316692488,41.80901945,3.791874808,0.00758375,Low
TN_1_2023-02-12,1,12-02-2023,4.13558378,4.855692533,3.68021967,0.878949363,3.316692488,43.94746815,3.798809216,0.007597618,Low
TN_1_2023-02-13,1,13-02-2023,4.13558378,4.855692533,3.67600527,0.794154485,3.316692488,39.70772425,3.789697568,0.007579395,Low
TN_1_2023-02-14,1,14-02-2023,4.13558378,4.855692533,3.52246713,0.802982046,3.316692488,40.1491023,3.767549604,0.007535099,Low
TN_1_2023-02-15,1,15-02-2023,4.13558378,4.855692533,3.542386445,0.826274846,3.316692488,41.3137423,3.772866781,0.007545734,Low
TN_1_2023-02-16,1,16-02-2023,4.13558378,4.855692533,3.623443308,0.81330394,3.316692488,40.665197,3.78372822,0.007567456,Low
TN_1_2023-02-17,1,17-02-2023,4.13558378,4.855692533,3.34729347,0.682816221,3.265645431,34.14081105,3.721599913,0.0074432,Low
TN_1_2023-02-18,1,18-02-2023,4.13558378,4.855692533,3.134943038,0.715703366,2.969010346,35.7851683,3.6485408,0.007297082,Low
TN_1_2023-02-19,1,19-02-2023,4.13558378,4.824129998,2.91628314,0.596104598,2.943971033,29.8052299,3.592135408,0.007184271,Low
TN_1_2023-02-20,1,20-02-2023,4.13558378,4.775649328,3.189089358,0.629700656,3.019636974,31.4850328,3.63564567,0.007271291,Low
TN_1_2023-02-21,1,21-02-2023,4.13558378,4.855692533,3.210871654,0.623372754,3.316692488,31.1686377,3.702849353,0.007405699,Low
TN_1_2023-02-22,1,22-02-2023,4.13558378,4.855692533,3.235398296,0.643916815,3.316692488,32.19584075,3.708582755,0.007417166,Low
TN_1_2023-02-23,1,23-02-2023,4.13558378,4.827243164,3.199731231,0.645320094,3.249667685,32.2660047,3.686206961,0.007372414,Low
TN_1_2023-02-24,1,24-02-2023,4.053212672,4.477836611,3.090488323,0.657394059,3.05270153,32.86970295,3.525301472,0.007050603,Low
TN_1_2023-02-25,1,25-02-2023,4.13558378,4.640833855,3.13926277,0.655142395,3.316692488,32.75711975,3.641570315,0.007283141,Low
