ID_Date,StateCode,StationId,Date,PM2.5,PM10,NO2,CO,O3
TN_1_2023-01-01,TN,1,2023-01-01,4.135583780292504,4.81806360613751,3.5157839561494977,0.6743430131967075,3.3166924883298736
TN_1_2023-01-02,TN,1,2023-01-02,4.135583780292504,4.61919259190613,3.3496798905654535,0.6383572833334046,3.2424634912302657
TN_1_2023-01-03,TN,1,2023-01-03,4.135583780292504,4.785857306151233,3.484470975474449,0.6565120111258966,3.3166924883298736
TN_1_2023-01-04,TN,1,2023-01-04,4.135583780292504,4.808580024479465,3.730014732835571,0.577100917340806,3.3166924883298736
TN_1_2023-01-05,TN,1,2023-01-05,4.135583780292504,4.6459688467961175,3.6779255816587964,0.5922903967482624,3.3166924883298736
TN_1_2023-01-06,TN,1,2023-01-06,4.135583780292504,4.779787954660993,3.8047846667916128,0.5588218219707037,3.3166924883298736
TN_1_2023-01-07,TN,1,2023-01-07,4.135583780292504,4.855692533483597,3.8047846667916128,0.6122722403436218,3.3166924883298736
TN_1_2023-01-08,TN,1,2023-01-08,4.135583780292504,4.855692533483597,3.775029276572023,0.6196800284987006,3.3166924883298736
TN_1_2023-01-09,TN,1,2023-01-09,4.135583780292504,4.855692533483597,3.8047846667916128,0.7091298849572055,3.3166924883298736
TN_1_2023-01-10,TN,1,2023-01-10,4.135583780292504,4.855692533483597,3.8047846667916128,0.6566200587102184,3.3166924883298736
TN_1_2023-01-11,TN,1,2023-01-11,4.135583780292504,4.855692533483597,3.775645502929737,0.6900521177908328,3.3166924883298736
TN_1_2023-01-12,TN,1,2023-01-12,4.135583780292504,4.787733322765918,3.589262443739926,0.6999814129022937,3.3166924883298736
TN_1_2023-01-13,TN,1,2023-01-13,4.135583780292504,4.855692533483597,3.464661106663235,0.6477756452641977,3.3166924883298736
TN_1_2023-01-14,TN,1,2023-01-14,4.135583780292504,4.855692533483597,3.500899208899232,0.6685769561423358,3.3166924883298736
TN_1_2023-01-15,TN,1,2023-01-15,4.135583780292504,4.65116411671913,3.260970342763041,0.6038415067739615,3.3166924883298736
TN_1_2023-01-16,TN,1,2023-01-16,4.108448908967568,4.533498506446559,3.353542683756846,0.6261055292042557,3.3166924883298736
TN_1_2023-01-17,TN,1,2023-01-17,4.0324316035435155,4.456965796499098,3.220865510929425,0.608424848252852,3.3166924883298736
TN_1_2023-01-18,TN,1,2023-01-18,4.135583780292504,4.743671067473143,3.4335424372037444,0.5896560587184044,3.3166924883298736
TN_1_2023-01-19,TN,1,2023-01-19,4.135583780292504,4.837456261571529,3.432174406552954,0.6670634095572769,3.3166924883298736
TN_1_2023-01-20,TN,1,2023-01-20,4.135583780292504,4.855692533483597,3.46397436971092,0.7122346830977099,3.3166924883298736
TN_1_2023-01-21,TN,1,2023-01-21,4.135583780292504,4.855692533483597,3.3767813512277463,0.6191754168986563,3.3166924883298736
TN_1_2023-01-22,TN,1,2023-01-22,4.135583780292504,4.855692533483597,3.327012483472779,0.6066470363231252,3.3166924883298736
TN_1_2023-01-23,TN,1,2023-01-23,4.135583780292504,4.751019840583899,3.322963030370615,0.6476302989511679,3.3166924883298736
TN_1_2023-01-24,TN,1,2023-01-24,4.074754620696699,4.499578933823756,3.218684139697772,0.5921559633779011,3.3166924883298736
TN_1_2023-01-25,TN,1,2023-01-25,4.135583780292504,4.855692533483597,3.3338574090991115,0.6603943943177585,3.3166924883298736
TN_1_2023-01-26,TN,1,2023-01-26,4.135583780292504,4.855692533483597,3.305503215944675,0.6291270434381604,3.3166924883298736
TN_1_2023-01-27,TN,1,2023-01-27,4.135583780292504,4.725488277672959,3.328059024869235,0.5804488522162397,3.3166924883298736
TN_1_2023-01-28,TN,1,2023-01-28,4.135583780292504,4.855692533483597,3.8047846667916128,0.6993432233798204,3.3166924883298736
TN_1_2023-01-29,TN,1,2023-01-29,4.135583780292504,4.855692533483597,3.1842441217312887,0.7240703429009528,3.3166924883298736
TN_1_2023-01-30,TN,1,2023-01-30,4.135583780292504,4.693758646477529,3.173693934800963,0.7499737490119699,3.3166924883298736
TN_1_2023-01-31,TN,1,2023-01-31,4.135583780292504,4.8508549860510675,3.342785731791061,0.5969077499357821,3.3166924883298736
TN_1_2023-02-01,TN,1,2023-02-01,4.135583780292504,4.84308137932671,3.506378714567711,0.6289419372124945,3.3166924883298736
TN_1_2023-02-02,TN,1,2023-02-02,4.135583780292504,4.728138520051408,3.7366365119556098,0.5766133643039938,3.3166924883298736
TN_1_2023-02-03,TN,1,2023-02-03,4.135583780292504,4.691771148602595,3.529633349254546,0.5721754729885048,3.3166924883298736
TN_1_2023-02-04,TN,1,2023-02-04,4.135583780292504,4.855692533483597,3.700460570849311,0.6620971630143284,3.3166924883298736
TN_1_2023-02-05,TN,1,2023-02-05,4.135583780292504,4.718696334833601,3.5272455496306683,0.571469853484307,3.3166924883298736
TN_1_2023-02-06,TN,1,2023-02-06,4.135583780292504,4.855692533483597,3.4839245171868627,0.6852515081147826,3.3166924883298736
TN_1_2023-02-07,TN,1,2023-02-07,4.135583780292504,4.692221608675881,3.3274088030609845,0.6563499175976135,3.3166924883298736
TN_1_2023-02-08,TN,1,2023-02-08,4.135583780292504,4.678935216987074,3.3809781398542005,0.7193291985571648,3.3166924883298736
TN_1_2023-02-09,TN,1,2023-02-09,4.135583780292504,4.850433666598664,3.311437280935835,0.7745511410006959,3.1349475691537183
TN_1_2023-02-10,TN,1,2023-02-10,4.135583780292504,4.737213101880554,3.45668026714367,0.6994467410969841,3.3166924883298736
