Date,AQI_Forecast
2024-12-31,16.435999458371256
2025-01-01,18.95918399674688
2025-01-02,28.73936476841787
2025-01-03,16.189677131960792
2025-01-04,17.252308101926044
2025-01-05,28.73936476841787
2025-01-06,16.56712177576994
2025-01-07,28.73936476841787
2025-01-08,5.03087198654962
2025-01-09,22.187110168800487
2025-01-10,4.9223690807809515
2025-01-11,28.73936476841787
2025-01-12,6.600961313421912
2025-01-13,43.21633639123787
2025-01-14,6.293985357095715
2025-01-15,20.60374053676008
2025-01-16,15.650800164450253
2025-01-17,4.276919772705014
2025-01-18,13.120181460942273
2025-01-19,14.474252427512837
2025-01-20,16.050155980618094
2025-01-21,28.73936476841787
2025-01-22,28.108271238662986
2025-01-23,19.23820418616081
2025-01-24,21.197684821399296
2025-01-25,28.73936476841787
2025-01-26,15.361880271380869
2025-01-27,14.340628622892012
