Date,AQI_Forecast
2024-12-31,32.40686732695748
2025-01-01,45.48453600085443
2025-01-02,28.68767572411076
2025-01-03,45.5127707011469
2025-01-04,34.03145321888771
2025-01-05,21.183803907349247
2025-01-06,40.489526082254265
2025-01-07,40.7727734025662
2025-01-08,40.37913060489227
2025-01-09,29.749512754262657
2025-01-10,16.862130868731736
2025-01-11,10.798477727521794
2025-01-12,40.59808460508452
2025-01-13,31.324688794596756
2025-01-14,44.209075548022895
2025-01-15,45.41655184603993
2025-01-16,45.50982867899313
2025-01-17,40.30401097390994
2025-01-18,45.51856387510972
2025-01-19,40.537543612130456
2025-01-20,32.30084370383011
2025-01-21,30.86265055942753
2025-01-22,45.53583914180537
2025-01-23,45.512714413938156
2025-01-24,45.50293302887287
2025-01-25,40.38858015768492
2025-01-26,34.38719026295045
2025-01-27,31.352959585486513
