Date,AQI_Forecast
2024-12-31,27.66598296404089
2025-01-01,25.654435160893254
2025-01-02,28.45962241696131
2025-01-03,26.691683950929885
2025-01-04,28.45962241696131
2025-01-05,22.56828746652561
2025-01-06,25.55969205721863
2025-01-07,15.92716733211461
2025-01-08,25.161159998379777
2025-01-09,20.456090073122603
2025-01-10,21.134182280355148
2025-01-11,25.39611566024571
2025-01-12,27.29264788029196
2025-01-13,27.073114767350198
2025-01-14,24.690668331044826
2025-01-15,29.08919534678884
2025-01-16,18.652042545009422
2025-01-17,29.72317692133886
2025-01-18,28.70373474941561
2025-01-19,23.930197798431003
2025-01-20,26.11486085685067
2025-01-21,23.174273228822386
2025-01-22,27.20870578076291
2025-01-23,26.94682885069371
2025-01-24,27.582007626913743
2025-01-25,23.146808123879286
2025-01-26,24.086318606530924
2025-01-27,18.467509496884063
