Date,AQI_Forecast
2024-12-31,21.964245630812798
2025-01-01,17.68075769397837
2025-01-02,28.776848973246295
2025-01-03,17.341697033304165
2025-01-04,21.984860987859662
2025-01-05,29.243528698292295
2025-01-06,25.180656396153026
2025-01-07,21.622932751242615
2025-01-08,33.69770379516037
2025-01-09,21.9237065927329
2025-01-10,25.356985344758748
2025-01-11,28.923524283964312
2025-01-12,24.778730435244157
2025-01-13,31.179078193517448
2025-01-14,26.867454102166093
2025-01-15,21.593126816409367
2025-01-16,31.37306105969222
2025-01-17,26.90364013973163
2025-01-18,34.467096179723974
2025-01-19,24.742851123092265
2025-01-20,17.821277121866252
2025-01-21,24.352696117476476
2025-01-22,23.03415913755957
2025-01-23,21.15364571612488
2025-01-24,34.63375366908487
2025-01-25,28.32925933085337
2025-01-26,20.431107339343026
2025-01-27,20.425269368254998
