Date,AQI_Forecast
2024-12-31,22.95119703066955
2025-01-01,19.971230955697685
2025-01-02,28.308161869502182
2025-01-03,20.398593310443715
2025-01-04,30.351125653552558
2025-01-05,20.50779754301687
2025-01-06,24.84064946803847
2025-01-07,29.50364242594098
2025-01-08,26.401266756761657
2025-01-09,25.12480957249418
2025-01-10,14.716510969513788
2025-01-11,20.659336380779266
2025-01-12,27.752566925845503
2025-01-13,24.70242425317729
2025-01-14,18.33461711448549
2025-01-15,26.16186437159707
2025-01-16,27.68352255935773
2025-01-17,26.333739370506134
2025-01-18,24.56438138683688
2025-01-19,27.467406126226884
2025-01-20,19.845326239673447
2025-01-21,28.115801064824637
2025-01-22,31.97032265073389
2025-01-23,24.496533147363355
2025-01-24,24.892896303527667
2025-01-25,22.068935973094987
2025-01-26,19.455947971883983
2025-01-27,25.77866722444803
