Date,AQI_Forecast
2024-12-31,32.86562615754226
2025-01-01,45.625320623083354
2025-01-02,39.69005019368986
2025-01-03,45.59925445848395
2025-01-04,37.11425631311192
2025-01-05,40.434239083548576
2025-01-06,38.86538607268825
2025-01-07,32.482454179260415
2025-01-08,45.62989896561386
2025-01-09,29.111926715827323
2025-01-10,37.7083515193242
2025-01-11,39.06574457928191
2025-01-12,45.563079580359584
2025-01-13,23.631539448682886
2025-01-14,39.562508188040745
2025-01-15,17.018904124955498
2025-01-16,32.51275165579902
2025-01-17,37.2049676795729
2025-01-18,20.685510929052732
2025-01-19,37.42830059539058
2025-01-20,31.03811613651432
2025-01-21,28.576749391383032
2025-01-22,45.63017823555495
2025-01-23,26.94868271171266
2025-01-24,28.64396183687037
2025-01-25,45.54259554896327
2025-01-26,26.36368694216535
2025-01-27,27.84683051009559
