Date,AQI_Forecast
2024-12-31,35.77690100219512
2025-01-01,24.518550778810237
2025-01-02,33.20456896970582
2025-01-03,36.1633847210495
2025-01-04,25.153559862126016
2025-01-05,39.83465356468211
2025-01-06,33.354568509207766
2025-01-07,23.835106145629155
2025-01-08,21.0175051746102
2025-01-09,17.06914067426039
2025-01-10,41.64501507844766
2025-01-11,27.580320986056392
2025-01-12,19.547243359799815
2025-01-13,44.14865697047844
2025-01-14,42.25983655396229
2025-01-15,36.42574198443855
2025-01-16,22.405920760921042
2025-01-17,29.123670847015426
2025-01-18,21.693765091998902
2025-01-19,29.989650589194973
2025-01-20,30.06906089217876
2025-01-21,23.190767500675527
2025-01-22,29.14505384148285
2025-01-23,29.123670847015426
2025-01-24,30.223047431370688
2025-01-25,19.065753003836036
2025-01-26,29.12367084699349
2025-01-27,23.932763335241987
