Date,AQI_Forecast
2024-12-31,21.400307953093062
2025-01-01,45.33908814709379
2025-01-02,28.499291108906146
2025-01-03,45.22736998047456
2025-01-04,45.36211913290902
2025-01-05,37.252746949758674
2025-01-06,43.622372309879864
2025-01-07,45.34557092400189
2025-01-08,45.344422263211584
2025-01-09,33.7580780745275
2025-01-10,34.83256153680021
2025-01-11,39.15654325005325
2025-01-12,45.30727573281503
2025-01-13,31.52000513908235
2025-01-14,28.169421134388386
2025-01-15,37.14800375759055
2025-01-16,45.34363017834885
2025-01-17,40.90497595821557
2025-01-18,36.95677176786589
2025-01-19,45.39244965697631
2025-01-20,40.339985031361365
2025-01-21,17.01032450362073
2025-01-22,45.32475852647312
2025-01-23,45.14638747082081
2025-01-24,44.98791649351636
2025-01-25,45.25264046482851
2025-01-26,24.663356289080873
2025-01-27,37.0952497098511
