Date,AQI_Forecast
2024-12-31,20.984935948028166
2025-01-01,21.425781856438906
2025-01-02,28.651322112329538
2025-01-03,21.997831887384535
2025-01-04,34.58177844725789
2025-01-05,17.66157099154954
2025-01-06,28.651322112329538
2025-01-07,35.05549228805036
2025-01-08,28.651322112329538
2025-01-09,29.390771637446587
2025-01-10,17.71742576014348
2025-01-11,22.822294455880044
2025-01-12,28.65132211232428
2025-01-13,17.82031278912118
2025-01-14,17.25923889676035
2025-01-15,28.651322112329538
2025-01-16,33.629575681272414
2025-01-17,28.651322112329538
2025-01-18,28.651322112329538
2025-01-19,21.724092540096855
2025-01-20,20.96993128905188
2025-01-21,28.651322112329538
2025-01-22,33.676679541544146
2025-01-23,34.77172527488267
2025-01-24,28.651322112329538
2025-01-25,28.651322112329538
2025-01-26,39.045095498229685
2025-01-27,28.02679719384708
