Date,AQI_Forecast,HRI
2024-12-31,27.66598296404089,0.8558073364546689
2025-01-01,25.654435160893254,0.7935830023400795
2025-01-02,28.45962241696131,0.8803574298741568
2025-01-03,26.691683950929885,0.8256687997395739
2025-01-04,28.45962241696131,0.8803574298741568
2025-01-05,22.56828746652561,0.6981174683066296
2025-01-06,25.55969205721863,0.7906522608837352
2025-01-07,15.92716733211461,0.4926839819673603
2025-01-08,25.161159998379777,0.7783242456380821
2025-01-09,20.456090073122603,0.6327796840802672
2025-01-10,21.134182280355148,0.6537554898738521
2025-01-11,25.39611566024571,0.7855922606378665
2025-01-12,27.29264788029196,0.8442587533429273
2025-01-13,27.0731147673502,0.8374678126814484
2025-01-14,24.690668331044822,0.7637702635450044
2025-01-15,29.08919534678884,0.8998323617021697
2025-01-16,18.652042545009422,0.5769740721170526
2025-01-17,29.72317692133886,0.9194436686050257
2025-01-18,28.70373474941561,0.8879086932904969
2025-01-19,23.930197798431003,0.7402462029029373
2025-01-20,26.11486085685067,0.8078256081063288
2025-01-21,23.174273228822383,0.7168627650790131
2025-01-22,27.20870578076291,0.8416621253934435
2025-01-23,26.94682885069371,0.8335613397357373
2025-01-24,27.582007626913743,0.8532096803479593
2025-01-25,23.14680812387929,0.7160131716148175
2025-01-26,24.086318606530924,0.7450755752450949
2025-01-27,18.467509496884063,0.5712658080510591
