Date,AQI_Forecast,HRI
2024-12-31,21.400307953093066,0.6619877042666705
2025-01-01,45.33908814709379,1.4024993912155739
2025-01-02,28.499291108906142,0.8815845237257678
2025-01-03,45.22736998047456,1.3990435506357446
2025-01-04,45.36211913290902,1.4032118215908864
2025-01-05,37.252746949758674,1.152360072806038
2025-01-06,43.62237230987986,1.3493952593289469
2025-01-07,45.34557092400189,1.4026999265822646
2025-01-08,45.344422263211584,1.4026643944151003
2025-01-09,33.7580780745275,1.0442575244241534
2025-01-10,34.83256153680021,1.0774951227812186
2025-01-11,39.15654325005325,1.2112512693713298
2025-01-12,45.30727573281503,1.401515319998387
2025-01-13,31.52000513908235,0.9750259615997237
2025-01-14,28.169421134388383,0.8713804711665168
2025-01-15,37.14800375759055,1.1491199930149938
2025-01-16,45.34363017834885,1.4026398924106893
2025-01-17,40.90497595821557,1.2653365169798272
2025-01-18,36.95677176786589,1.143204506838923
2025-01-19,45.39244965697631,1.4041500526687063
2025-01-20,40.339985031361365,1.2478593363981498
2025-01-21,17.01032450362073,0.5261898890270613
2025-01-22,45.32475852647312,1.4020561250402235
2025-01-23,45.14638747082081,1.396538473336439
2025-01-24,44.98791649351636,1.391636401894822
2025-01-25,45.25264046482851,1.3998252566728653
2025-01-26,24.663356289080877,0.7629254048636165
2025-01-27,37.0952497098511,1.1474881225283466
