Date,AQI_Forecast,HRI
2024-12-31,22.95119703066955,0.7099622241795357
2025-01-01,19.971230955697685,0.6177812656116911
2025-01-02,28.308161869502182,0.8756722159828797
2025-01-03,20.398593310443715,0.6310011045377676
2025-01-04,30.35112565355256,0.9388683582191408
2025-01-05,20.50779754301687,0.6343791801886303
2025-01-06,24.84064946803847,0.7684097140042854
2025-01-07,29.50364242594098,0.9126526851792577
2025-01-08,26.401266756761657,0.8166851621177047
2025-01-09,25.12480957249418,0.7771997975678083
2025-01-10,14.716510969513788,0.4552340710646473
2025-01-11,20.659336380779266,0.6390668158776797
2025-01-12,27.752566925845503,0.8584856866086472
2025-01-13,24.70242425317729,0.764133916064448
2025-01-14,18.33461711448549,0.5671549736027237
2025-01-15,26.16186437159707,0.809279594137167
2025-01-16,27.68352255935773,0.856349898574009
2025-01-17,26.33373937050613,0.814596299681687
2025-01-18,24.56438138683688,0.7598637588134693
2025-01-19,27.467406126226884,0.8496646479815327
2025-01-20,19.845326239673447,0.6138865845585063
2025-01-21,28.11580106482464,0.8697218115420422
2025-01-22,31.97032265073389,0.9889558852430046
2025-01-23,24.496533147363355,0.7577649712452688
2025-01-24,24.892896303527667,0.7700258946104945
2025-01-25,22.068935973094987,0.682670749059279
2025-01-26,19.455947971883983,0.6018417286550181
2025-01-27,25.77866722444803,0.7974259422981959
